id,meaning_en,meaning_ja,word_class,english_word_id,parent_id
27,The available body of facts or information indicating whether a belief or proposition is true or valid.,信念または命題が真実であるか有効であるかを示す、利用可能な一連の事実または情報。,noun,12,NULL
28,Be or show evidence of.,であるか、証拠を示す。,transitive verb,12,NULL
29,The area of variation between upper and lower limits on a particular scale.,特定のスケールでの上限と下限の間の変動の領域。,noun,13,NULL
30,A set of different things of the same general type.,同じ一般的なタイプの異なるもののセット。,noun,13,NULL
31,The distance within which something can be reached or perceived.,何かに到達または知覚できる距離。,noun,13,NULL
32,A line or series of mountains or hills.,山または丘のラインまたはシリーズ。,noun,13,NULL
33,A large area of open land for grazing or hunting.,放牧や狩猟のための広い土地。,noun,13,NULL
34,An electric or gas stove with several burners and one or more ovens.,複数のバーナーと1つ以上のオーブンを備えた電気またはガスストーブ。,noun,13,NULL
35,A course of masonry extending from end to end at one height.,ある高さで端から端まで伸びる石積みのコース。,noun,13,NULL
36,The direction or position in which something lies.,何かがある方向または位置。,noun,13,NULL
37,Vary or extend between specified limits.,指定された制限間で変化または拡張します。,verb,13,NULL
38,Place or arrange in a row or rows or in a specified order or manner.,1つまたは複数の行に、または指定された順序または方法で配置または配置します。,verb,13,NULL
39,(of a person or animal) travel or wander over a wide area.,（人または動物の）広い範囲を旅行またはさまよう。,verb,13,NULL
40,"Obtain the range of a target by adjustment after firing past it or short of it, or by the use of radar or laser equipment.",目標の範囲を、目標を超えて、またはそれを越えて発射した後に調整するか、レーダーまたはレーザー装置を使用して取得します。,verb,13,NULL
41,As a result or consequence of this; therefore.,この結果または結果として;したがって。,adverb,14,NULL
42,In the manner now being indicated or exemplified; in this way.,現在示されているまたは例示されている方法で。この方法では。,adverb,14,NULL
43,To this point; so.,ここまで;そう。,adverb,14,NULL
44,Single; separate.,シングル;分ける。,adjective,15,NULL
45,Of or for a particular person.,特定の人のために。,adjective,15,NULL
46,"A single human being as distinct from a group, class, or family.",グループ、クラス、または家族とは異な​​る単一の人間。,noun,15,NULL
47,"A group of people appointed for a specific function, typically consisting of members of a larger group.",特定の機能のために任命された人々のグループで、通常はより大きなグループのメンバーで構成されます。,noun,16,NULL
48,A person entrusted with the charge of another person or another person's property.,他人または他人の財産の請求を委託した人。,noun,16,NULL
49,Used to emphasize a statement or response confirming something already suggested.,すでに提案されていることを確認するステートメントまたは応答を強調するために使用されます。,adverb,17,NULL
50,Used to introduce a further and stronger or more surprising point.,さらに強力な、またはより意外なポイントを紹介するために使用されます。,adverb,17,NULL
51,"Used in a response to express interest, incredulity, or contempt.",関心、信仰心、軽蔑を表現するための応答で使用されます。,adverb,17,NULL
52,"The action or fact of joining or being joined, especially in a political context.",特に政治的な状況において、加入または加入の行動または事実。,noun,19,NULL
53,"A club, society, or association formed by people with a common interest or purpose.",共通の関心または目的を持つ人々によって形成されたクラブ、社会、または協会。,noun,19,NULL
54,A number of parishes consolidated for the purposes of administering the Poor Laws.,貧しい法律を管理するために統合された多くの教区。,noun,19,NULL
55,A political unit consisting of a number of states or provinces with the same central government.,同じ中央政府を持つ多数の州または地方で構成される政治単位。,noun,19,NULL
56,The set that comprises all the elements (and no others) contained in any of two or more given sets.,2つ以上の指定されたセットのいずれかに含まれるすべての要素を含む（他は含まない）セット。,noun,19,NULL
57,A pipe coupling.,パイプ継手。,noun,19,NULL
58,"A part of a flag with an emblem symbolizing national union, typically occupying the upper corner next to the staff.",組合の象徴であるエンブレムが付いた旗の一部で、通常はスタッフの横の上隅を占めています。,noun,19,NULL
59,"A fabric made of two or more different yarns, typically cotton and linen or silk.",2つ以上の異なる糸で作られた布で、通常は綿とリネンまたは絹です。,noun,19,NULL
60,A building at a college or university used by students for recreation and other nonacademic activities.,学生がレクリエーションやその他の非学術活動に使用する大学の建物。,noun,19,NULL
61,"An industrial and residential township in northeastern New Jersey; population 53,673 (est. 2008).","ニュージャージー州北東部の工業用住宅地。人口53,673（推定2008年）。",proper noun,19,NULL
62,"Become or make greater in size, amount, intensity, or degree.",サイズ、量、強度、または度合いが大きくなるか、大きくなります。,verb,20,NULL
63,An instance of growing or making greater.,成長したり大きくなったりする実例。,noun,20,NULL
64,An important topic or problem for debate or discussion.,討論または議論のための重要なトピックまたは問題。,noun,21,NULL
65,"The action of supplying or distributing an item for use, sale, or official purposes.",使用、販売、または公的な目的でアイテムを提供または配布する行為。,noun,21,NULL
66,A result or outcome of something.,何かの結果または結果。,noun,21,NULL
67,The action of flowing or coming out.,流れたり出たりする行為。,noun,21,NULL
68,Children of one's own.,自分の子供たち。,noun,21,NULL
69,"Someone or something having power, authority, or influence; a master or ruler.",力、権威、または影響力を持つ誰かまたは何か;マスターまたは定規。,noun,22,NULL
70,"Used in exclamations expressing surprise or worry, or for emphasis.",驚きや心配を表す感嘆符、または強調のために使用されます。,exclamation,22,NULL
71,Act in a superior and domineering manner toward (someone),（誰か）に対して優れた横暴な行動をとる,verb,22,NULL
72,Confer the title of Lord upon.,主の称号を授けます。,verb,22,NULL
73,Different from one another; of different kinds or sorts.,互いに異なります。さまざまな種類または種類の。,adjective,23,NULL
74,Having or showing different properties or qualities.,さまざまな特性や品質を持っている、または示すこと。,adjective,23,NULL
75,More than one; several.,複数の;いくつか。,determiner,23,NULL
76,More than one of several people or things.,複数の人または物の1つ以上。,pronoun,23,NULL
77,Without being affected by; in spite of.,影響を受けることなく;にもかかわらず。,preposition,25,NULL
78,Outrage; injury.,怒り;けが。,noun,25,NULL
79,Contempt; disdain.,軽蔑;軽蔑。,noun,25,NULL
80,The arrangement of and relations between the parts or elements of something complex.,複雑なものの部品または要素の配置と関係。,noun,26,NULL
81,Construct or arrange according to a plan; give a pattern or organization to.,計画に従って構築または手配する。パターンや組織を与える。,transitive verb,26,NULL
82,"The most important city or town of a country or region, usually its seat of government and administrative center.",国または地域の最も重要な都市または町。通常、政府および行政の中心地です。,noun,27,NULL
83,Wealth in the form of money or other assets owned by a person or organization or available or contributed for a particular purpose such as starting a company or investing.,人や組織が所有する、または会社の設立や投資などの特定の目的のために利用可能または寄付された、金銭またはその他の資産の形の富。,noun,27,NULL
84,A letter of the size and form used to begin sentences and names.,文章と名前を始めるのに使用されるサイズと形の手紙。,noun,27,NULL
85,(of an offense or charge) liable to the death penalty.,（犯罪または告発の）死刑の対象となります。,adjective,27,NULL
86,(of a letter of the alphabet) large in size and of the form used to begin sentences and names.,（アルファベットの文字の）サイズが大きく、文や名前の始めに使用される形式。,adjective,27,NULL
87,Excellent.,優秀な。,adjective,27,NULL
88,"Used to express approval, satisfaction, or delight.",承認、満足、または喜びを表現するために使用されます。,exclamation,27,NULL
89,"The distinct, typically broader section at the head of a pillar or column.",柱または柱の先端にある、通常はより広い明確なセクション。,noun,27,NULL
90,For each (used with units to express a rate),それぞれ（単位を使用してレートを表すために使用されます）,preposition,28,NULL
91,By means of.,によって。,preposition,28,NULL
92,Divided by a line in the direction of.,の方向に線で分割されています。,preposition,28,NULL
93,In accordance with.,に従い。,preposition,28,NULL
94,Harmony or accordance in opinion or feeling; a position or result of agreeing.,調和または意見や感情の一致;同意の立場または結果。,noun,29,NULL
95,"All the inhabitants of a particular town, area, or country.",特定の町、地域、または国のすべての住民。,noun,31,NULL
96,"Of, based on, or concerned with the law.",の、に基づいて、または法律に関係しています。,adjective,32,NULL
97,Permitted by law.,法律で許可されています。,adjective,32,NULL
98,(of paper) measuring 8 ½ by 14 inches.,（紙の）8 x 14インチの寸法。,adjective,32,NULL
99,The process of increasing in physical size.,物理的なサイズが増加するプロセス。,noun,34,NULL
100,Something that has grown or is growing.,成長した、または成長している何か。,noun,34,NULL
101,"A vineyard or crop of grapes of a specified classification of quality, or a wine from it.",特定の品質分類のブドウ畑またはブドウの収穫物、またはそれからのワイン。,noun,34,NULL
102,"The way in which two or more concepts, objects, or people are connected, or the state of being connected.",2つ以上の概念、オブジェクト、または人々が接続されている方法、または接続されている状態。,noun,35,NULL
103,In every part of (a place or object),（場所またはオブジェクト）のすべての部分,preposition,37,NULL
104,In every part of a place or object.,場所またはオブジェクトのすべての部分。,adverb,37,NULL
105,Sufficiently great or important to be worthy of attention; noteworthy.,注意に値するほど十分に重要または重要なもの。注目に値する。,adjective,38,NULL
106,Having a particular meaning; indicative of something.,特定の意味を持つ;何かを示す。,adjective,38,NULL
107,Relating to or having significance.,に関連するか、または重要性を持っています。,adjective,38,NULL
108,"Money received, especially on a regular basis, for work or through investments.",特に定期的に、仕事や投資のために受け取ったお金。,noun,39,NULL
109,"A written or spoken agreement, especially one concerning employment, sales, or tenancy, that is intended to be enforceable by law.",法律によって強制されることが意図されている、特に雇用、販売、または賃貸契約に関する書面または口頭での合意。,noun,40,NULL
110,"Decrease in size, number, or range.",サイズ、数、または範囲を小さくしてください。,verb,40,NULL
111,Enter into a formal and legally binding agreement.,正式な法的拘束力のある契約を締結します。,verb,40,NULL
112,Catch or develop (a disease or infectious agent),捕獲または発達する（病気または感染性物質）,verb,40,NULL
113,Become liable to pay (a debt),支払い義務を負う（借金）,verb,40,NULL
114,"Think carefully about (something), typically before making a decision.",（何か）について慎重に検討し、通常は決定を下します。,transitive verb,41,NULL
115,"Make an effort to achieve or complete (something, typically a difficult task or action)",達成または完了するための努力をする（何か、通常は困難なタスクまたはアクション）,transitive verb,42,NULL
116,"An act of trying to achieve something, typically one that is unsuccessful or not certain to succeed.",何かを達成しようとする行為。通常は、成功しないか、成功するかどうかが不確かなもの。,noun,42,NULL
117,Clearly defined or identified.,明確に定義または識別されている。,adjective,43,NULL
118,Relating to or connected with species or a species.,種または種に関連または関連している。,adjective,43,NULL
119,"(of a duty or a tax) levied at a fixed rate per physical unit of the thing taxed, regardless of its price.",（関税または税の）価格に関係なく、課税対象の物的単位ごとに固定レートで課税されます。,adjective,43,NULL
120,"Of or denoting a number equal to the ratio of the value of some property of a given substance to the value of the same property of some other substance used as a reference, such as water, or of a vacuum, under equivalent conditions.",同等の条件下で、水や真空など、参照として使用される他の物質の同じ特性の値に対する、特定の物質のある特性の値の比に等しい数またはそれを表します。,adjective,43,NULL
121,A medicine or remedy effective in treating a particular disease or part of the body.,特定の疾患または体の一部の治療に効果的な薬または治療薬。,noun,43,NULL
122,A precise detail.,正確なディテール。,noun,43,NULL
123,Most important.,最も重要な。,adjective,44,NULL
124,"Guidance or leadership, especially in a spiritual context.",特に霊的な状況でのガイダンスまたはリーダーシップ。,noun,44,NULL
125,The amount of blank space between lines of print.,印刷行間の空白の量。,noun,44,NULL
126,Having or showing the capacity to become or develop into something in the future.,将来何かになる、または将来成長する能力を持っている、または示すこと。,adjective,45,NULL
127,Latent qualities or abilities that may be developed and lead to future success or usefulness.,開発され、将来の成功または有用性につながる可能性のある潜在的な資質または能力。,noun,45,NULL
128,The quantity determining the energy of mass in a gravitational field or of charge in an electric field.,重力場の質量または電場の電荷のエネルギーを決定する量。,noun,45,NULL
129,A means of approaching or entering a place.,場所に近づく、または入る方法。,noun,46,NULL
130,An attack or outburst of an emotion.,感情の攻撃または爆発。,noun,46,NULL
131,Approach or enter (a place),接近または進入（場所）,transitive verb,46,NULL
132,"Obtain, examine, or retrieve (data or a file)",取得、調査、または取得（データまたはファイル）,transitive verb,46,NULL
133,Free from outside control; not depending on another's authority.,外部制御から解放されます。他人の権限に依存しない。,adjective,47,NULL
134,Not depending on another for livelihood or subsistence.,生計または生計のために他に依存していません。,adjective,47,NULL
135,Capable of thinking or acting for oneself.,自分で考えたり行動したりできる。,adjective,47,NULL
136,Not connected with another or with each other; separate.,別のまたは互いに接続されていません。分ける。,adjective,47,NULL
137,An independent person or body.,独立した個人または団体。,noun,47,NULL
138,An advantage or profit gained from something.,何かから得られる利点または利益。,noun,48,NULL
139,"A payment or gift made by an employer, the state, or an insurance company.",雇用主、州、または保険会社による支払いまたは贈り物。,noun,48,NULL
140,A public performance or other entertainment of which the proceeds go to a particular charitable cause.,収益が特定の慈善目的に寄付される公演またはその他の娯楽。,noun,48,NULL
141,The condition of having paid work.,仕事を支払ったという条件。,noun,49,NULL
142,"The capacity to have an effect on the character, development, or behavior of someone or something, or the effect itself.",誰かまたは何かの性格、発達、または行動、または効果自体に影響を与える能力。,noun,50,NULL
143,Have an influence on.,に影響を与えます。,transitive verb,50,NULL
144,Relate to; be about.,に関連する;程度で。,transitive verb,51,NULL
145,Worry (someone); make anxious.,心配（誰か）;心配する。,transitive verb,51,NULL
146,Anxiety; worry.,不安;心配。,noun,51,NULL
147,A matter of interest or importance to someone.,誰かの関心事や重要事項。,noun,51,NULL
148,A business; a firm.,仕事;会社。,noun,51,NULL
149,A complicated or awkward object or structure.,複雑または扱いにくいオブジェクトまたは構造。,noun,51,NULL
150,A formal request to an authority for something.,何かのための当局への正式な要求。,noun,52,NULL
151,The action of putting something into operation.,何かを運用すること。,noun,52,NULL
152,The action of putting something on a surface.,何かを表面に置く行為。,noun,52,NULL
153,Sustained effort; hard work.,持続的な努力;ハードワーク。,noun,52,NULL
154,A program or piece of software designed and written to fulfill a particular purpose of the user.,ユーザーの特定の目的を満たすように設計および記述されたプログラムまたはソフトウェア。,noun,52,NULL
155,Assume that something is the case on the basis of evidence or probability but without proof or certain knowledge.,証拠または確率に基づいて、証拠や特定の知識がなくても、何かが当てはまると仮定します。,verb,53,NULL
156,Be required to do something because of the position one is in or an agreement one has made.,自分がいる立場や、自分が作った合意のために、何かをするよう求められる。,verb,53,NULL
157,Successful in producing a desired or intended result.,望ましい結果または意図した結果を生成することに成功しました。,adjective,55,NULL
158,"Fulfilling a specified function in fact, though not formally acknowledged as such.",正式には認められていませんが、実際には指定された機能を満たしています。,adjective,55,NULL
159,A soldier fit and available for service.,兵士にフィットし、サービスを利用できます。,noun,55,NULL
160,"An area or division, especially part of a country or the world having definable characteristics but not always fixed boundaries.",明確な特徴を持つが、常に固定された境界を持つわけではない、地域または部門、特に国または世界の一部。,noun,56,NULL
161,A formal and organized choice by vote of a person for a political office or other position.,行政機関またはその他の地位のための人の投票による正式で組織化された選択。,noun,57,NULL
162,"(in the UK) the highest legislature, consisting of the sovereign, the House of Lords, and the House of Commons.",（英国では）主権者、上院、および下院で構成される最高の立法府。,noun,58,NULL
163,A formal assessment or examination of something with the possibility or intention of instituting change if necessary.,必要に応じて、変更を導入する可能性または意図のあるものの正式な評価または調査。,noun,59,NULL
164,"A critical appraisal of a book, play, movie, exhibition, etc., published in a newspaper or magazine.",新聞や雑誌に掲載された本、演劇、映画、展覧会などの批評的評価。,noun,59,NULL
165,"A ceremonial display and formal inspection of military or naval forces, typically by a sovereign, commander in chief, or high-ranking visitor.",通常は主権者、最高司令官、または高位の訪問者による軍隊または海軍の儀式用の展示および正式な検査。,noun,59,NULL
166,Examine or assess (something) formally with the possibility or intention of instituting change if necessary.,必要に応じて、変更を導入する可能性または意図について（何か）を正式に調査または評価します。,transitive verb,59,NULL
167,"Write a critical appraisal of (a book, play, movie, etc.) for publication in a newspaper or magazine.",新聞や雑誌に掲載するための（本、演劇、映画など）の批評的評価を書いてください。,transitive verb,59,NULL
168,"(of a sovereign, commander in chief, or high-ranking visitor) make a ceremonial and formal inspection of (military or naval forces)",（主権者、最高司令官、または高位の訪問者の）（軍または海軍の）儀式的かつ正式な検査を行う,transitive verb,59,NULL
169,View or inspect for a second time or again.,もう一度またはもう一度表示または検査します。,transitive verb,59,NULL
170,In motion.,動いている。,adjective,62,NULL
171,"Producing strong emotion, especially sadness or sympathy.",強い感情、特に悲しみや同情を生み出す。,adjective,62,NULL
172,Relating to the process of changing one's residence.,住居変更のプロセスに関連する。,adjective,62,NULL
173,Involving a moving vehicle.,移動中の車両が関与しています。,adjective,62,NULL
174,"Notably large in size, amount, or extent.",特にサイズ、量、または範囲が大きい。,adjective,63,NULL
175,Relating to the body as opposed to the mind.,心とは対照的に体に関連しています。,adjective,64,NULL
176,Relating to things perceived through the senses as opposed to the mind; tangible or concrete.,心とは対照的に、感覚を通して知覚されるものに関連する。有形またはコンクリート。,adjective,64,NULL
177,Relating to physics or the operation of natural forces generally.,一般的に物理学または自然の力の操作に関連しています。,adjective,64,NULL
178,A medical examination to determine a person's bodily fitness.,人の体の健康状態を判断するための健康診断。,noun,64,NULL
179,Consisting of many different and connected parts.,多くの異なる接続されたパーツで構成されています。,adjective,65,NULL
180,Denoting or involving numbers or quantities containing both a real and an imaginary part.,実数部と虚数部の両方を含む数値または数量を示す、または含む。,adjective,65,NULL
181,Denoting an ion or molecule in which one or more groups are linked to a metal atom by coordinate bonds.,1つ以上のグループが配位結合によって金属原子にリンクされているイオンまたは分子を示します。,adjective,65,NULL
182,A group of similar buildings or facilities on the same site.,同じサイト上の類似した建物または施設のグループ。,noun,65,NULL
183,A related group of emotionally significant ideas that are completely or partly repressed and that cause psychic conflict leading to abnormal mental states or behavior.,完全にまたは部分的に抑圧され、精神的な葛藤を引き起こし、異常な精神状態または行動につながる、感情的に重要なアイデアの関連グループ。,noun,65,NULL
184,An ion or molecule in which one or more groups are linked to a metal atom by coordinate bonds.,1つ以上の基が金属原子に配位結合で結合しているイオンまたは分子。,noun,65,NULL
185,Make (an atom or compound) form a complex with another.,（原子または化合物）を別のものと複合体を形成します。,transitive verb,65,NULL
186,"Resistance or dissent, expressed in action or argument.",抵抗または反対意見、行動または議論で表現。,noun,67,NULL
187,The action of separating something into parts or the process of being separated.,何かをパーツに分離するアクション、または分離されるプロセス。,noun,68,NULL
188,"Disagreement between two or more groups, typically producing tension or hostility.",2つ以上のグループ間の不一致。通常、緊張や敵意を生み出します。,noun,68,NULL
189,The process or skill of dividing one number by another.,ある数値を別の数値で割るプロセスまたはスキル。,noun,68,NULL
190,Each of the parts into which something is divided.,何かが分割される各パーツ。,noun,68,NULL
191,A partition that divides two groups or things.,2つのグループまたはものを分割するパーティション。,noun,68,NULL
192,"The outside part or uppermost layer of something (often used when describing its texture, form, or extent)",何かの外側の部分または最上層（テクスチャ、フォーム、または範囲を説明するときによく使用されます）,noun,69,NULL
193,A continuous set of points that has length and breadth but no thickness.,長さと幅はあるが厚さはないポイントの連続セット。,noun,69,NULL
194,Relating to or occurring on the upper or outer part of something.,何かの上部または外部に関連している、または発生している。,adjective,69,NULL
195,Rise or come up to the surface of the water or the ground.,上昇するか、水面または地面に近づきます。,verb,69,NULL
196,"Provide (something, especially a road) with a particular upper or outer layer.",（何か、特に道路）に特定の上層または外層を提供します。,verb,69,NULL
197,The necessary items for a particular purpose.,特定の目的のために必要なアイテム。,noun,70,NULL
198,An act of giving one thing and receiving another (especially of the same type or value) in return.,見返りとして、あるものを与え、別のもの（特に同じタイプまたは値のもの）を受け取る行為。,noun,71,NULL
199,Give something and receive something of the same kind in return.,何かを与えて、見返りに同じ種類のものを受け取ってください。,transitive verb,71,NULL
200,In circumstances different from those present or considered; or else.,存在または検討されている状況とは異なる状況で;またはその他。,adverb,72,NULL
201,In other respects; apart from that.,他の点では;それとは別に。,adverb,72,NULL
202,In a different way.,別の方法で。,adverb,72,NULL
203,In a different state or situation.,別の状態または状況。,adjective,72,NULL
204,Absolutely necessary; extremely important.,絶対に必要な;非常に重要。,adjective,73,NULL
205,(of a disease) with no known external stimulus or cause; idiopathic.,（病気の）既知の外部刺激や原因がない;特発性。,adjective,73,NULL
206,A thing that is absolutely necessary.,絶対に必要なもの。,noun,73,NULL
207,An activity or purpose natural to or intended for a person or thing.,人または物に固有または意図された活動または目的。,noun,74,NULL
208,A relationship or expression involving one or more variables.,1つ以上の変数を含む関係または式。,noun,74,NULL
209,A thing dependent on another factor or factors.,別の要因に依存するもの。,noun,74,NULL
210,A large or formal social event or ceremony.,大規模または正式な社交イベントまたは式典。,noun,74,NULL
211,Work or operate in a proper or particular way.,適切または特定の方法で作業または操作します。,intransitive verb,74,NULL
212,To a small degree; not considerably.,少しまで;それほどではありません。,adverb,75,NULL
213,(with reference to a person's build) in a slender way.,（人の体格に関して）細身のやり方で。,adverb,75,NULL
214,"Help, typically of a practical nature.",通常は実用的な性質のヘルプ。,noun,76,NULL
215,"Help, assist, or support (someone or something) in the achievement of something.",何かを達成するために（誰かまたは何か）を助け、助け、またはサポートします。,transitive verb,76,NULL
216,Artificial insemination by donor.,ドナーによる人工授精。,abbreviation,76,NULL
217,Agency for International Development.,国際開発庁。,abbreviation,76,NULL
218,"Take or carry (people or goods) from one place to another by means of a vehicle, aircraft, or ship.",乗り物、航空機、または船を使って、ある場所から別の場所へ（人または物）を運ぶか、運びます。,transitive verb,77,NULL
219,"Overwhelm (someone) with a strong emotion, especially joy.",強い感情、特に喜びで（誰かを）圧倒する。,transitive verb,77,NULL
220,"A system or means of conveying people or goods from place to place by means of a vehicle, aircraft, or ship.",車両、航空機、または船を使って場所から場所へ人や物を運ぶシステムまたは手段。,noun,77,NULL
221,An overwhelmingly strong emotion.,圧倒的に強い感情。,noun,77,NULL
222,"Relating to ordinary citizens and their concerns, as distinct from military or ecclesiastical matters.",軍や教会の問題とは異なり、一般市民とその懸念に関連する。,adjective,78,NULL
223,Courteous and polite.,礼儀正しく丁寧。,adjective,78,NULL
224,(of time measurement or a point in time) fixed by custom or law rather than being natural or astronomical.,（時間測定または特定の時点の）自然または天文的ではなく、慣習または法律によって修正されます。,adjective,78,NULL
225,Scarcely (used to qualify a statement by saying that it is true to an insignificant degree),まれに（取るに足りない程度に真実であると言ってステートメントを修飾するために使用されます）,adverb,79,NULL
226,Harshly.,厳しく。,adverb,79,NULL
227,"Easily perceived or understood; clear, self-evident, or apparent.",容易に認識または理解されます。明確、自明、または明白。,adjective,80,NULL
228,"An organized body of people with a particular purpose, especially a business, society, association, etc.",特定の目的、特にビジネス、社会、協会などを持つ人々の組織体。,noun,81,NULL
229,The action of organizing something.,何かを整理する行為。,noun,81,NULL
230,A fundamental truth or proposition that serves as the foundation for a system of belief or behavior or for a chain of reasoning.,信念や行動のシステム、または推論の連鎖の基盤となる基本的な真実または命題。,noun,82,NULL
231,A general scientific theorem or law that has numerous special applications across a wide field.,幅広い分野にわたって数多くの特別な用途を持つ一般的な科学定理または法律。,noun,82,NULL
232,A fundamental source or basis of something.,何かの基本的な情報源または基礎。,noun,82,NULL
233,The goods or merchandise kept on the premises of a business or warehouse and available for sale or distribution.,ビジネスまたは倉庫の敷地内に保管され、販売または流通可能な商品または商品。,noun,83,NULL
234,"An area of a country or city, especially one regarded as a distinct unit because of a particular characteristic.",国または都市の領域、特に特定の特性のために個別の単位と見なされる領域。,noun,84,NULL
235,Divide into districts.,地区に分割します。,transitive verb,84,NULL
236,"Having the power to put plans, actions, or laws into effect.",計画、行動、または法律を実施する力を持っている。,adjective,85,NULL
237,A person with senior managerial responsibility in a business organization.,ビジネス組織の上級管理職の責任者。,noun,85,NULL
238,The person or branch of a government responsible for putting policies or laws into effect.,政策または法律を施行する責任がある政府の人または支店。,noun,85,NULL
239,Used before the first of two (or occasionally more) alternatives that are being specified (the others being introduced by “nor”) to indicate that they are each untrue or each do not happen.,指定されている2つ（場合によってはそれ以上）の選択肢の最初の前に使用され（その他は「nor」によって導入されます）、それぞれが正しくないか、またはそれぞれが発生しないことを示します。,adverb,86,NULL
240,Used to introduce a further negative statement.,さらに否定的なステートメントを紹介するために使用されます。,adverb,86,NULL
241,Not the one nor the other; not either.,どちらでもない;どちらでもない。,determiner,86,NULL
242,Not the one nor the other of two people or things.,二人またはもののどちらでもない。,pronoun,86,NULL
243,"The state or fact of existing, occurring, or being present in a place or thing.",場所または物に存在する、発生している、または存在している状態または事実。,noun,88,NULL
244,Keep away from or stop oneself from doing (something),自分から離れる、または行動を止める（何か）,transitive verb,89,NULL
245,"Repudiate, nullify, or render void (a decree or contract)",否認、無効化、または無効にする（法令または契約）,transitive verb,89,NULL
246,"In relation, comparison, or proportion to something else.",他の何かとの関係、比較、または比率。,adverb,90,NULL
247,Lack of success.,成功の欠如。,noun,91,NULL
248,The omission of expected or required action.,予想されるアクションまたは必要なアクションの省略。,noun,91,NULL
249,The action or state of not functioning.,機能していないアクションまたは状態。,noun,91,NULL
250,The legally or formally recognized union of two people as partners in a personal relationship (historically and in some jurisdictions specifically a union between a man and a woman),法的または正式に認められた、個人的な関係のパートナーとしての2人の組合（歴史的および一部の法域では、具体的には男性と女性の間の組合）,noun,92,NULL
251,A combination or mixture of two or more elements.,2つ以上の要素の組み合わせまたは混合物。,noun,92,NULL
252,Expected at or planned for at a certain time.,特定の時刻に予定されているか、予定されています。,adjective,93,NULL
253,Of the proper quality or extent; adequate.,適切な品質または範囲のもの;適切。,adjective,93,NULL
254,A person's right; what is owed to someone.,人の権利;誰かに負っているもの。,noun,93,NULL
255,An obligatory payment; a fee.,義務的な支払い;料金。,noun,93,NULL
256,(with reference to a point of the compass) exactly; directly.,（コンパスのポイントを参照して）正確に;直接。,adverb,93,NULL
257,Situated or occurring nearer to the end of something than to the beginning.,何かの始まりよりも終わりの近くに位置または発生している。,adjective,94,NULL
258,Denoting the second or second mentioned of two people or things.,2人または2人の2番目または2番目の言及を示します。,adjective,94,NULL
259,As far as one knows or can see.,知るか見ることができる限り。,adverb,96,NULL
260,An occupation undertaken for a significant period of a person's life and with opportunities for progress.,人の人生のかなりの期間にわたって行われ、進歩の機会を持つ職業。,noun,97,NULL
261,Move swiftly and in an uncontrolled way in a specified direction.,指定された方向に、制御されていない方法ですばやく移動します。,verb,97,NULL
